Source:,D:/work/LCSDR/src/KiCad/main/main.sch
Date:,2015-9-20 15:49:15
Tool:,"Eeschema (2015-09-17 BZR 6202, Git 3adff48)-product"
Generator:,bom_csv_grouped_by_value.py
Component Count:,197

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C201,4.7u,device:C,Resistors_SMD:R_0805,
,,C202,4.7u,device:C,Resistors_SMD:R_0805,
,,C203,22u,device:C,Capacitors_SMD:C_1206,
,,C204,22u,device:C,Capacitors_SMD:C_1206,
,,C205,22u,device:C,Capacitors_SMD:C_1206,
,,C206,22u,device:C,Capacitors_SMD:C_1206,
,,C207,22u,device:C,Capacitors_SMD:C_1206,
,,C208,4.7u,device:C,Resistors_SMD:R_0805,
,,C209,0.47u,device:C,Capacitors_SMD:C_0402,
,,C210,4.7u,device:C,Resistors_SMD:R_0805,
,,C211,4.7u,device:C,Resistors_SMD:R_0805,
,,C212,4.7u,device:C,Resistors_SMD:R_0805,
,,C213,4.7u,device:C,Resistors_SMD:R_0805,
,,C214,4.7u,device:C,Resistors_SMD:R_0805,
,,C215,4.7u,device:C,Resistors_SMD:R_0805,
,,C216,0.47u,device:C,Capacitors_SMD:C_0402,
,,C217,0.47u,device:C,Capacitors_SMD:C_0402,
,,C218,0.47u,device:C,Capacitors_SMD:C_0402,
,,C219,0.47u,device:C,Capacitors_SMD:C_0402,
,,C220,0.47u,device:C,Capacitors_SMD:C_0402,
,,C221,0.47u,device:C,Capacitors_SMD:C_0402,
,,C222,22u,device:C,Capacitors_SMD:C_1206,
,,C223,22u,device:C,Capacitors_SMD:C_1206,
,,C224,0.47u,device:C,Capacitors_SMD:C_0402,
,,C225,0.47u,device:C,Capacitors_SMD:C_0402,
,,C226,0.47u,device:C,Capacitors_SMD:C_0402,
,,C227,0.47u,device:C,Capacitors_SMD:C_0402,
,,C228,0.47u,device:C,Capacitors_SMD:C_0402,
,,C229,0.47u,device:C,Capacitors_SMD:C_0402,
,,C230,0.47u,device:C,Capacitors_SMD:C_0402,
,,C301,0.47u,device:C,Capacitors_SMD:C_0402,
,,C302,0.47u,device:C,Capacitors_SMD:C_0402,
,,C303,0.47u,device:C,Capacitors_SMD:C_0402,
,,C304,0.47u,device:C,Capacitors_SMD:C_0402,
,,C305,4.7u,device:C,Resistors_SMD:R_0805,
,,C306,4.7u,device:C,Resistors_SMD:R_0805,
,,C307,4.7u,device:C,Resistors_SMD:R_0805,
,,C308,0.47u,device:C,Capacitors_SMD:C_0402,
,,C309,0.47u,device:C,Capacitors_SMD:C_0402,
,,C310,0.47u,device:C,Capacitors_SMD:C_0402,
,,C311,0.47u,device:C,Capacitors_SMD:C_0402,
,,C314,0.47u,device:C,Capacitors_SMD:C_0402,
,,C316,0.47u,device:C,Capacitors_SMD:C_0402,
,,C317,4.7u,device:C,Resistors_SMD:R_0805,
,,C318,0.47u,device:C,Capacitors_SMD:C_0402,
,,C319,0.47u,device:C,Capacitors_SMD:C_0402,
,,C320,0.47u,device:C,Capacitors_SMD:C_0402,
,,C321,0.47u,device:C,Capacitors_SMD:C_0402,
,,C322,0.47u,device:C,Capacitors_SMD:C_0402,
,,C323,0.47u,device:C,Capacitors_SMD:C_0402,
,,C324,0.47u,device:C,Capacitors_SMD:C_0402,
,,C325,4.7u,device:C,Resistors_SMD:R_0805,
,,C401,0.47u,device:C,Capacitors_SMD:C_0402,
,,C402,4.7u,device:C,Resistors_SMD:R_0805,
,,C403,0.47u,device:C,Capacitors_SMD:C_0402,
,,C404,0.47u,device:C,Capacitors_SMD:C_0402,
,,C405,0.47u,device:C,Capacitors_SMD:C_0402,
,,C406,4.7u,device:C,Resistors_SMD:R_0805,
,,C407,4.7u,device:C,Resistors_SMD:R_0805,
,,C408,0.47u,device:C,Capacitors_SMD:C_0402,
,,C409,47u,device:CP,Capacitors_SMD:c_elec_6.3x5.8,
,,C410,47u,device:CP,Capacitors_SMD:c_elec_6.3x5.8,
,,C411,22u,device:C,Capacitors_SMD:C_1206,
,,C412,22u,device:C,Capacitors_SMD:C_1206,
,,C413,0.47u,device:C,Capacitors_SMD:C_0402,
,,C414,4.7u,device:C,Resistors_SMD:R_0805,
,,C415,4.7u,device:C,Resistors_SMD:R_0805,
,,C416,22u,device:C,Capacitors_SMD:C_1206,
,,C419,0.47u,device:C,Capacitors_SMD:C_0402,
,,C420,0.1u,device:C,Resistors_SMD:R_0805,
,,C421,0.1u,device:C,Resistors_SMD:R_0805,
,,C422,22u,device:C,Capacitors_SMD:C_1206,
,,C423,0.47u,device:C,Capacitors_SMD:C_0402,
,,C424,0.47u,device:C,Capacitors_SMD:C_0402,
,,C501,0.47u,device:C,Capacitors_SMD:C_0402,
,,C502,12p,device:C,Resistors_SMD:R_0805,
,,C503,12p,device:C,Resistors_SMD:R_0805,
,,C504,4.7n 250V,device:C,Capacitors_SMD:C_1206,
,,C505,4.7u,device:C,Resistors_SMD:R_0805,
,,C506,470u,device:CP,Capacitors_Elko_ThroughHole:Elko_vert_11.5x8mm_RM3.5,
,,C507,0.47u,device:C,Capacitors_SMD:C_0402,
,,C508,0.47u,device:C,Capacitors_SMD:C_0402,
,,C509,0.47u,device:C,Capacitors_SMD:C_0402,
,,C510,0.47u,device:C,Capacitors_SMD:C_0402,
,,C511,4.7u,device:C,Resistors_SMD:R_0805,
,,C512,0.47u,device:C,Capacitors_SMD:C_0402,
,,C513,0.47u,device:C,Capacitors_SMD:C_0402,
,,C514,4.7u,device:C,Resistors_SMD:R_0805,
,,C515,0.47u,device:C,Capacitors_SMD:C_0402,
,,C516,4.7u,device:C,Resistors_SMD:R_0805,
,,C517,0.47u,device:C,Capacitors_SMD:C_0402,
,,C518,4.7u,device:C,Resistors_SMD:R_0805,
,,C519,0.47u,device:C,Capacitors_SMD:C_0402,
,,C520,0.47u,device:C,Capacitors_SMD:C_0402,
,,C521,0.47u,device:C,Capacitors_SMD:C_0402,
,,C522,0.47u,device:C,Capacitors_SMD:C_0402,
,,C523,0.47u,device:C,Capacitors_SMD:C_0402,
,,C524,0.47u,device:C,Capacitors_SMD:C_0402,
,,C525,0.47u,device:C,Capacitors_SMD:C_0402,
,,C526,0.47u,device:C,Capacitors_SMD:C_0402,
,,C527,4.7n 250V,device:C,Capacitors_SMD:C_1206,
,,D201,D_Schottky,device:D_Schottky,Diodes_SMD:SMA_Standard,
,,D202,D_Schottky,device:D_Schottky,Diodes_SMD:SMA_Standard,
,,D301,LED,device:LED,LEDs:LED-0805,
,,D401,LED,device:LED,LEDs:LED-0805,
,,D501,TVS,device:TVS,Diodes_SMD:SMA_Standard,
,,D502,LED,device:LED,LEDs:LED-0805,
,,D503,LED,device:LED,LEDs:LED-0805,
,,DD501,IC_CY7C68013A,active_components_lib:IC_CY7C68013A,Housings_SSOP:SSOP-56_7.5x18.5mm_Pitch0.635mm,
,,FB201,FILTER,device:FILTER,Resistors_SMD:R_0805,
,,FB202,FILTER,device:FILTER,Resistors_SMD:R_0805,
,,FB401,FB,device:FILTER,Resistors_SMD:R_0805,
,,FB402,FB,device:FILTER,Resistors_SMD:R_0805,
,,FB403,FB,device:FILTER,Resistors_SMD:R_0805,
,,FB501,FILTER,device:FILTER,Resistors_SMD:R_0805,
,,FB502,FB,device:FILTER,Resistors_SMD:R_0805,
,,J1,JACK_TRS_5PINS,my:JACK_TRS_5PINS,my:5PIN_3.5mm_Audio_Jack_Wide,
,,JP501,JUMPER,device:JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
,,JP502,JUMPER,device:JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
,,JP503,JUMPER,device:JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
,,L201,INDUCTOR,device:INDUCTOR,Choke_SMD:Choke_SMD_6.3x6.3_H3,
,,L202,INDUCTOR,device:INDUCTOR,Choke_SMD:Choke_SMD_6.3x6.3_H3,
,,M401,Mount_Hole,my:Mount_Hole,my:Mounting_Hole_3mm,
,,M402,Mount_Hole,my:Mount_Hole,my:Mounting_Hole_3mm,
,,M403,Mount_Hole,my:Mount_Hole,my:Mounting_Hole_3mm,
,,M404,Mount_Hole,my:Mount_Hole,my:Mounting_Hole_3mm,
,,P401,CONN_02X07,conn:CONN_02X07,Socket_Strips:Socket_Strip_Straight_2x07,
,,P402,CONN_02X13,conn:CONN_02X13,Socket_Strips:Socket_Strip_Angled_2x13,
,,P501,USB_OTG,conn:USB_OTG,my:USB_Micro-B,
,,P502,USB_OTG,conn:USB_OTG,my:USB_Micro-B,
,,R201,100k,device:R,Resistors_SMD:R_0805,
,,R202,100k,device:R,Resistors_SMD:R_0805,
,,R203,10k,device:R,Resistors_SMD:R_0805,
,,R204,10k,device:R,Resistors_SMD:R_0805,
,,R205,10k,device:R,Resistors_SMD:R_0805,
,,R206,10k,device:R,Resistors_SMD:R_0805,
,,R207,0,device:R,Resistors_SMD:R_0402,
,,R208,0,device:R,Resistors_SMD:R_0402,
,,R210,0,device:R,Resistors_SMD:R_0402,
,,R211,0,device:R,Resistors_SMD:R_0402,
,,R301,100k,device:R,Resistors_SMD:R_0805,
,,R302,100k,device:R,Resistors_SMD:R_0805,
,,R303,100k,device:R,Resistors_SMD:R_0805,
,,R304,0,device:R,Resistors_SMD:R_0402,
,,R305,2.4k,device:R,Resistors_SMD:R_0805,
,,R306,560,device:R,Resistors_SMD:R_0805,
,,R307,2.4k,device:R,Resistors_SMD:R_0805,
,,R308,2.4k,device:R,Resistors_SMD:R_0805,
,,R309,2.4k,device:R,Resistors_SMD:R_0805,
,,R310,2.4k,device:R,Resistors_SMD:R_0805,
,,R401,560,device:R,Resistors_SMD:R_0805,
,,R402,0,device:R,Resistors_SMD:R_0402,
,,R403,0,device:R,Resistors_SMD:R_0402,
,,R404,0,device:R,Resistors_SMD:R_0402,
,,R405,50,device:R,Resistors_SMD:R_0805,
,,R406,0,device:R,Resistors_SMD:R_0402,
,,R407,0,device:R,Resistors_SMD:R_0402,
,,R408,0,device:R,Resistors_SMD:R_0402,
,,R409,0,device:R,Resistors_SMD:R_0402,
,,R410,4.7,device:R,Resistors_SMD:R_0805,
,,R411,4.7,device:R,Resistors_SMD:R_0805,
,,R412,0,device:R,Resistors_SMD:R_0402,
,,R501,1Meg,device:R,Resistors_SMD:R_0805,
,,R502,100k,device:R,Resistors_SMD:R_0805,
,,R503,100k,device:R,Resistors_SMD:R_0805,
,,R504,10k,device:R,Resistors_SMD:R_0805,
,,R505,10k,device:R,Resistors_SMD:R_0805,
,,R506,100k,device:R,Resistors_SMD:R_0805,
,,R507,2.2k,device:R,Resistors_SMD:R_0805,
,,R508,2.2k,device:R,Resistors_SMD:R_0805,
,,R509,20k,device:R,Resistors_SMD:R_0805,
,,R510,560,device:R,Resistors_SMD:R_0805,
,,R511,560,device:R,Resistors_SMD:R_0805,
,,R512,1Meg,device:R,Resistors_SMD:R_0805,
,,R513,560,device:R,Resistors_SMD:R_0805,
,,R514,1Meg,device:R,Resistors_SMD:R_0805,
,,RV401,DUAL_POT_WITH_SHIELD,my:DUAL_POT_WITH_SHIELD,my:RK09L12,
,,S401,Encoder_with_swith,my:Encoder_with_swith,my:EC11B15242A,
,,SW401,SW_PUSH,device:SW_PUSH,my:SW_SPST_FSMSM,
,,SW501,SW_PUSH,device:SW_PUSH,my:SW_SPST_FSMSM,
,,U201,LMR10515-SOT23,my:LMR10515-SOT23,TO_SOT_Packages_SMD:SOT-23-5,
,,U202,LMR10515-SOT23,my:LMR10515-SOT23,TO_SOT_Packages_SMD:SOT-23-5,
,,U203,XC6SLX25-FTG256,xilinx-spartan6:XC6SLX25-FTG256,my:BGA-256_pitch1mm_dia0.4mm,
,,U204,General_SOT223_LDO,my:General_SOT223_LDO,TO_SOT_Packages_SMD:SOT-223,
,,U205,General_SOT223_LDO,my:General_SOT223_LDO,TO_SOT_Packages_SMD:SOT-223,
,,U301,AD92x8,my:AD92x8,Housings_QFP:LQFP-64_7x7mm_Pitch0.4mm,
,,U302,25_Serial_Flash_8_Pin,my:25_Serial_Flash_8_Pin,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,
,,U401,74AHC1G04,74xx:74AHC1G04,TO_SOT_Packages_SMD:SOT-23-5,
,,U402,74AHC1G04,74xx:74AHC1G04,TO_SOT_Packages_SMD:SOT-23-5,
,,U403,74AHC1G04,74xx:74AHC1G04,TO_SOT_Packages_SMD:SOT-23-5,
,,U404,UDA1334,my:UDA1334,Housings_SSOP:SSOP-16_4.4x5.2mm_Pitch0.65mm,
,,U405,TDA2822M,my:TDA2822M,Housings_DIP:DIP-8_W7.62mm,
,,U406,MCP3202,my:MCP3202,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
,,U407,MCP48x2,my:MCP48x2,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
,,U501,24C16,memory:24C16,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
,,X401,4-Pin_Oscillator,my:4-Pin_Oscillator,my:oscillator_4Pin_5032_7050,
,,Y501,Crystal,device:Crystal,Crystals:Crystal_HC49-U_Vertical,



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,24,"C201, C202, C208, C210, C211, C212, C213, C214, C215, C305, C306, C307, C317, C325, C402, C406, C407, C414, C415, C505, C511, C514, C516, C518",4.7u,device:C,Resistors_SMD:R_0805,
2,11,"C203, C204, C205, C206, C207, C222, C223, C411, C412, C416, C422",22u,device:C,Capacitors_SMD:C_1206,
3,57,"C209, C216, C217, C218, C219, C220, C221, C224, C225, C226, C227, C228, C229, C230, C301, C302, C303, C304, C308, C309, C310, C311, C314, C316, C318, C319, C320, C321, C322, C323, C324, C401, C403, C404, C405, C408, C413, C419, C423, C424, C501, C507, C508, C509, C510, C512, C513, C515, C517, C519, C520, C521, C522, C523, C524, C525, C526",0.47u,device:C,Capacitors_SMD:C_0402,
4,2,"C409, C410",47u,device:CP,Capacitors_SMD:c_elec_6.3x5.8,
5,2,"C420, C421",0.1u,device:C,Resistors_SMD:R_0805,
6,2,"C502, C503",12p,device:C,Resistors_SMD:R_0805,
7,2,"C504, C527",4.7n 250V,device:C,Capacitors_SMD:C_1206,
8,1,C506,470u,device:CP,Capacitors_Elko_ThroughHole:Elko_vert_11.5x8mm_RM3.5,
9,2,"D201, D202",D_Schottky,device:D_Schottky,Diodes_SMD:SMA_Standard,
10,4,"D301, D401, D502, D503",LED,device:LED,LEDs:LED-0805,
11,1,D501,TVS,device:TVS,Diodes_SMD:SMA_Standard,
12,1,DD501,IC_CY7C68013A,active_components_lib:IC_CY7C68013A,Housings_SSOP:SSOP-56_7.5x18.5mm_Pitch0.635mm,
13,3,"FB201, FB202, FB501",FILTER,device:FILTER,Resistors_SMD:R_0805,
14,4,"FB401, FB402, FB403, FB502",FB,device:FILTER,Resistors_SMD:R_0805,
15,1,J1,JACK_TRS_5PINS,my:JACK_TRS_5PINS,my:5PIN_3.5mm_Audio_Jack_Wide,
16,3,"JP501, JP502, JP503",JUMPER,device:JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
17,2,"L201, L202",INDUCTOR,device:INDUCTOR,Choke_SMD:Choke_SMD_6.3x6.3_H3,
18,4,"M401, M402, M403, M404",Mount_Hole,my:Mount_Hole,my:Mounting_Hole_3mm,
19,1,P401,CONN_02X07,conn:CONN_02X07,Socket_Strips:Socket_Strip_Straight_2x07,
20,1,P402,CONN_02X13,conn:CONN_02X13,Socket_Strips:Socket_Strip_Angled_2x13,
21,2,"P501, P502",USB_OTG,conn:USB_OTG,my:USB_Micro-B,
22,8,"R201, R202, R301, R302, R303, R502, R503, R506",100k,device:R,Resistors_SMD:R_0805,
23,6,"R203, R204, R205, R206, R504, R505",10k,device:R,Resistors_SMD:R_0805,
24,13,"R207, R208, R210, R211, R304, R402, R403, R404, R406, R407, R408, R409, R412",0,device:R,Resistors_SMD:R_0402,
25,5,"R305, R307, R308, R309, R310",2.4k,device:R,Resistors_SMD:R_0805,
26,5,"R306, R401, R510, R511, R513",560,device:R,Resistors_SMD:R_0805,
27,1,R405,50,device:R,Resistors_SMD:R_0805,
28,2,"R410, R411",4.7,device:R,Resistors_SMD:R_0805,
